302,Het Che Guevara Chind gha?,Bern
222,Isch rossrennä ä sport?,Bern
176,Wenn isch dr Olof Palme erschossä wordä,Bern
490,Weli Unternähme arbeite ir Luft- und Ruumfahrtindustrie und ir Medizin? ,Bern
394,Wie heisst dr höchst Bärg in Australie?,Bern
99,Weli Schriftsteller hei in Istanbul studiert?,Bern
108,Weli Büecher het d Danielle Steel geschribä?,Bern
332,Het Breaking Bad meh Episode aus Game of Thrones?,Bern
248,Wie heisst de lengsti Fluss vo de Welt?,Zentralschweiz
254,In welem alta riich sind Kakaobohna Zahligsmittel gsi? ,Graubünden
17,Was für a Organisation isch im Johr 1950 gründet worda? ,Graubünden
348,In wellem Land ligt dr Mount Everest?,Graubünden
534,Wia viel Kaloria hät as Baguette? ,Graubünden
309,Wär isch dr Sohn vu Sonny und Cher,Graubünden
32,Säg alli Schriftssteller wo dr Nobelpriis gwunna hend,Graubünden
32,Säg alli Schriftssteller wo dr Nobelpriis gwunna hend?,Graubünden
420,Welli Länder händ Ortschafta mit meh als zwai höhlana? ,Graubünden
145,Wär isch dr manager vu Real Madrid?,Graubünden
153,Welli Stadt i Dütschland isch flächamässig dia klinsti?,Graubünden
285,Welli Sproch wird offiziell in Surinami gredet? ,Graubünden
538,Wenn isch De Beers gründet worde?,Zürich
541,Wer isch de Autor vo s Lied vo Füür und Iis?,Zürich
542,I wellem Studio hend d Beatles ihres erste Album ufgno?,Zürich
544,Wenn isch d Prinzession Diana gstorbe?,Zürich
545,Wer het Intel gründet?,Zürich
548,Wie vill Flüss und See gits in South Carolina?,Zürich
549,Wer het mer Rodzilla gnännt?,Zürich
550,List alli Hauptstädt vo allne Länder in Afrika uf.,Zürich
551,Welli Brugge sind vom gliiche Typ wie d Manhatten Brugg.,Zürich
554,Welle Buech het am meiste Siitene?,Zürich
477,Tuan alli Gängster us dr Zit vur Prohibition uflista,Graubünden
473,Tuan alli Autos wo in Dütschland produziert werden uflista,Graubünden
98,Wer hed dr John Lennon tötet?,Graubünden
98,Wer hed dr John Lennon tötet?,Graubünden
98,Wer hed dr John Lennon tötet?,Graubünden
115,Wiaviel Fluuglinia ghören zur SkyTeam-Allianz,Graubünden
115,Wiaviel Fluuglinia ghören zur SkyTeam-Allianz,Graubünden
