ID;Language;Frage;Set;internal ID
1;de;Liste die Brettspiele von GMT auf.;train;0
2;de;Wer entwickelte Skype?;train;1
3;de;Welche Personen wurden in Heraklion geboren?;train;2
4;de;In welchem Bundesstaat liegt Area 51?;train;3
5;de;Wer ist der Bürgermeister von New York City?;train;4
6;de;In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?;train;5
7;de;Wo starb Abraham Lincoln?;train;6
8;de;Welche Flughäfen werden durch Air China angeflogen?;train;7
9;de;Liste alle Schauspieler, die in Filmen mitspielen, in denen William Shatner Regie führte und auch die Hauptrolle spielte.;train;8
10;de;Was ist die Amtssprache der Philippinen?;train;9
11;de;Liste als dänischen Filme auf.;train;10
12;de;Liste Brad Pitt Filme auf, in denen Guy Ritchie Regie geführt hat.;train;11
13;de;Zeige die Enkelkinder von Bruce Lee?;train;12
14;de;Welche anderen Waffen wurden vom Designer der Uzi entwickelt?;train;13
15;de;Wem gehören die Universal Studios?;train;14
16;de;Welcher Staat in den USA hat die höchste Bevölkerungsdichte?;train;15
17;de;Welche Monarchen waren mit Deutschen verheiratet?;train;16
18;de;Welche Organisationen wurden 1950 gegründet?;train;17
19;de;Wer ist der Schöpfer von Captain America?;train;18
20;de;Wer war an Bord der Apollo 14?;train;19
21;de;Wer schrieb die Säulen der Welt?;train;20
22;de;Welcher US-Bundesstaat hat die höchste Bevölkerungsdichte?;train;21
23;de;Welche Raumflüge starteten von Baikonur aus?;train;22
24;de;Liste alle Trompetenspieler auf, die Bandleader einer Band waren.;train;23
25;de;Welche US-Staaten liegen in der gleichen Zeitzone wie Utah?;train;24
26;de;In welchen US-Staaten gibt es Goldvorkommen?;train;25
27;de;Mit wem ist die Tochter von Ingrid Bergman verheiratet?;train;26
28;de;Wie tief ist der Lake Placid?;train;27
29;de;Liste alle Museen in London auf.;train;28
30;de;Welche Höhlen haben mehr als drei Höhleneingänge?;train;29
31;de;Wie heißt der größte Spieler der Atlanta Falcons?;train;30
32;de;Welches sind laut IGN die 10 besten Aktion-Rollenspiele für den PC?;train;31
33;de;Liste alle Schriftsteller auf, die den Nobelpreis gewonnen haben.;train;32
34;de;Liste alle Basketballspieler auf, die größer als 2 Meter sind.;train;33
35;de;Wann wurde die Freiheitsstatue erbaut?;train;34
36;de;Welche Staaten grenzen an Illinois?;train;35
37;de;Wer entwickelte Minecraft?;train;36
38;de;Wo ist Hillel Slovak gestorben?;train;37
39;de;In welchen Filmen spielt Jesse Eisenberg mit?;train;38
40;de;Liste alle Schwimmer auf, die in Moskau geboren wurden.;train;39
41;de;Liste alle Kosmonauten auf.;train;40
42;de;Liste alle Schweizer NGOs auf.;train;41
43;de;Welche Präsidenten wurden 1945 geboren?;train;42
44;de;Welchen Musikstil spielte Lou Reed?;train;43
45;de;Wo spielen die Red Sox?;train;44
46;de;Liste alle Fußballvereine auf, die in der Bundesliga spielen.;train;45
47;de;Welche Vulkane sind seit 2000 in Japan ausgebrochen?;train;46
48;de;Welche Brücken führen über die Seine?;train;47
49;de;Welches sind die Universitätsfarben von Oxford?;train;48
50;de;Wie viele Filme hat Hal Roach produziert?;train;49
51;de;Liste alle dänischen Filme auf.;train;50
52;de;Was ist die häufigste Todesursache?;train;51
53;de;Wer sind die jüngsten MVP Basketballspieler?;train;52
54;de;Liste alle Unternehmen in München auf.;train;53
55;de;Wie heißen die Hauptstädte der Länder, auf denen sich das Himalayagebirge befindet?;train;54
56;de;Bei wie vielen Filmen führte Park Chan-wook Regie?;train;55
57;de;Welche Flüsse münden in einen deutschen See?;train;56
58;de;Wie viele Luftlinien gibt es?;train;57
59;de;Liste alle Inseln auf, die zu Japan gehören.;train;58
60;de;Wie viele Einwohner hat Maribor?;train;59
