ID,Language,Question,Translation
1,de,Liste die Brettspiele von GMT auf.,
2,de,Wer entwickelte Skype?,
3,de,Welche Personen wurden in Heraklion geboren?,
4,de,In welchem Bundesstaat liegt Area 51?,
5,de,Wer ist der Bürgermeister von New York City?,
6,de,In welchen Ländern gibt es Orte mit mehr als zwei Höhlen?,
7,de,Wo starb Abraham Lincoln?,
8,de,Welche Flughäfen werden durch Air China angeflogen?,
9,de,"Liste alle Schauspieler, die in Filmen mitspielen, in denen William Shatner Regie führte und auch die Hauptrolle spielte.",
10,de,Was ist die Amtssprache der Philippinen?,
11,de,Liste als dänischen Filme auf.,
12,de,"Liste Brad Pitt Filme auf, in denen Guy Ritchie Regie geführt hat.",
13,de,Zeige die Enkelkinder von Bruce Lee?,
14,de,Welche anderen Waffen wurden vom Designer der Uzi entwickelt?,
15,de,Wem gehören die Universal Studios?,
16,de,Welcher Staat in den USA hat die höchste Bevölkerungsdichte?,
17,de,Welche Monarchen waren mit Deutschen verheiratet?,
18,de,Welche Organisationen wurden 1950 gegründet?,
19,de,Wer ist der Schöpfer von Captain America?,
20,de,Wer war an Bord der Apollo 14?,
21,de,Wer schrieb die Säulen der Welt?,
22,de,Welcher US-Bundesstaat hat die höchste Bevölkerungsdichte?,
23,de,Welche Raumflüge starteten von Baikonur aus?,
24,de,"Liste alle Trompetenspieler auf, die Bandleader einer Band waren.",
25,de,Welche US-Staaten liegen in der gleichen Zeitzone wie Utah?,
26,de,In welchen US-Staaten gibt es Goldvorkommen?,
27,de,Mit wem ist die Tochter von Ingrid Bergman verheiratet?,
28,de,Wie tief ist der Lake Placid?,
29,de,Liste alle Museen in London auf.,
30,de,Welche Höhlen haben mehr als drei Höhleneingänge?,
31,de,Wie heißt der größte Spieler der Atlanta Falcons?,
32,de,Welches sind laut IGN die 10 besten Aktion-Rollenspiele für den PC?,
33,de,"Liste alle Schriftsteller auf, die den Nobelpreis gewonnen haben.",
34,de,"Liste alle Basketballspieler auf, die größer als 2 Meter sind.",
35,de,Wann wurde die Freiheitsstatue erbaut?,
36,de,Welche Staaten grenzen an Illinois?,
37,de,Wer entwickelte Minecraft?,
38,de,Wo ist Hillel Slovak gestorben?,
39,de,In welchen Filmen spielt Jesse Eisenberg mit?,
40,de,"Liste alle Schwimmer auf, die in Moskau geboren wurden.",
41,de,Liste alle Kosmonauten auf.,
42,de,Liste alle Schweizer NGOs auf.,
43,de,Welche Präsidenten wurden 1945 geboren?,
44,de,Welchen Musikstil spielte Lou Reed?,
45,de,Wo spielen die Red Sox?,
46,de,"Liste alle Fußballvereine auf, die in der Bundesliga spielen.",
47,de,Welche Vulkane sind seit 2000 in Japan ausgebrochen?,
48,de,Welche Brücken führen über die Seine?,
49,de,Welches sind die Universitätsfarben von Oxford?,
50,de,Wie viele Filme hat Hal Roach produziert?,
51,de,Liste alle dänischen Filme auf.,
52,de,Was ist die häufigste Todesursache?,
53,de,Wer sind die jüngsten MVP Basketballspieler?,
54,de,Liste alle Unternehmen in München auf.,
55,de,"Wie heißen die Hauptstädte der Länder, auf denen sich das Himalayagebirge befindet?",
56,de,Bei wie vielen Filmen führte Park Chan-wook Regie?,
57,de,Welche Flüsse münden in einen deutschen See?,
58,de,Wie viele Luftlinien gibt es?,
59,de,"Liste alle Inseln auf, die zu Japan gehören.",
60,de,Wie viele Einwohner hat Maribor?,
61,de,Gib mir alle Apollo-14-Astronauten?,
62,de,"Liste alle Unternehmen auf, die mehr als 1 Million Angestellte haben.",
63,de,In welchen Filmen unter der Regie von Garry Marshall hat Julia Roberts mitgespielt?,
64,de,Welche Fußballvereine spielen in der Premier League?,
65,de,Welches ist die höchste Ort im Ural?,
66,de,Wer ist der Gouverneur von Wyoming?,
67,de,Wo hat der Architekt des Eiffelturms studiert?,
68,de,Welche Weltkulturerbestätten wurden in den vergangenen beiden Jahren ernannt?,
69,de,"Liste alle Schauspieler auf, die nach 1950 in Paris geboren wurden.",
70,de,In welchen Filmen haben Liz Taylor und Richard Burton gemeinsam gespielt?,
71,de,Liste alle australischen Non-Profit-Organisationen auf.,
72,de,Welcher Papst folgte auf Johannes Paul II?,
73,de,Liste alle ESA-Austronauten auf.,
74,de,Wer war 1978 in Pakistan Präsident?,
75,de,Wem gehört Rolls-Royce?,
76,de,Wie viele Museen gibt es in Paris?,
77,de,Wo wurde JFK ermordet?,
78,de,Liste alle Bundeskanzler von Deutschland auf.,
79,de,"Liste alle, die an Halloween geboren wurden, auf.",
80,de,Welche Biersorten haben ihren Ursprung in Irland?,
81,de,Auf welche Länder erstreckt sich das Himalaya-Gebirge?,
82,de,Welche Schauspieler wurden in Deutschland geboren?,
83,de,Wie viele Kohlenhydrate hat Erdnussbutter?,
84,de,Wer hat die meisten Filme produziert?,
85,de,Wie viele Angestellte hat Google?,
86,de,"Liste alle Schauspieler auf, die in Berlin geboren wurden.",
87,de,Wer hat Goofy erschaffen?,
88,de,Auf welchen Musikalben befindet sich das Lied Last Christmas?,
89,de,Wann wurde Alberta zu einer Provinz?,
90,de,Wie viele Missionen hat das Soyuz-Programm?,
91,de,In welchen Serien hat Neil Patrick Harris mitgespielt?,
92,de,Wann wurden die Hells Angels gegründet?,
93,de,Wie hoch ist das Nettoeinkommen von Apple?,
94,de,Welche schwedischen Feiertage gibt es?,
95,de,Wo wurde die frühere niederländische Königin Juliana begraben?,
96,de,Für welche Musicals hat Leonard Bernstein die Musik geschrieben?,
97,de,"Liste alle Unternehmen auf, die in der Werbung tätig sind.",
98,de,Welches ist das größte Ballungszentrum im Bundesstaat Washington?,
99,de,Wer tötete John Lennon?,
100,de,Welche Schriftsteller haben in Istanbul studiert?,
101,de,Liste alle australischen Metalcore-Bands auf.,
102,de,Welche Ländern haben den Euro eingeführt?,
103,de,Liste alle Formen der Essstörung auf.,
104,de,War Marc Chagall Jude?,
105,de,Was war Brasiliens schlechteste Platzierung in der FIFA-Weltrangliste?,
106,de,In wievielen Filmen hat Leonardo DiCaprio mitgespielt?,
107,de,War Margaret Thatcher Chemikerin?,
108,de,Welche US-Staaten liegen in der gleichen Zeitzone wie Utah?,
109,de,Welche Bücher hat Danielle Steel geschrieben?,
110,de,Welches Land hat die meisten offiziellen Sprachen?,
111,de,Wie viele Menschen arbeiten beim FDNY?,
112,de,Wer spielte Chewbacca?,
113,de,"Liste alle Bibliotheken auf, die vor 1400 gegründet wurden.",
114,de,Welche Programmiersprachen wurden von Perl beeinflusst?,
115,de,In welchem US-Bundesstaat liegt der Mount McKinley?,
116,de,Welche Fluglinien gehören zur SkyTeam-Allianz?,
117,de,Welche Schiffe wurden nach Benjamin Franklin benannt?,
118,de,Welche Politiker sind Methodisten?,
119,de,Welche Bücher hat der Schrifftsteller von Das Schicksal ist eine mieser Verräter noch geschrieben?,
120,de,Welcher ist der höchste Berg?,
121,de,Welcher Dichter hat die meisten Bücher geschrieben?,
122,de,Welche Programmiersprachen haben Javascript beeinflusst?,
123,de,Welcher Musiker hat die meisten Bücher geschrieben?,
124,de,In welchen Filmen hat Clint Eastwood Regie geführt und mitgespielt?,
125,de,Welche Software wurde von in Kalifornien gegründeten Organisationen entwickelt?,
126,de,Welche Instrumente spielt Cat Stevens?,
127,de,Wie viele Fluglinien gehören zur Star Alliance?,
128,de,Liste alle Schauspieler mit dem Nachnamen Baldwin auf.,
129,de,Wer hat die Tribute von Panem geschrieben?,
130,de,Für welches Label hat Elvis sein erstes Album aufgenommen?,
131,de,Spielt Christian Bale in Batman Begins mit?,
132,de,Wo ist der Amtssitz von Spaniens Premierminister?,
133,de,Welcher Schauspieler hat in den meisten Filmen mitgespielt?,
134,de,"Liste alle Länder auf, die mehr als zwei offizielle Landessprachen haben?",
135,de,"Liste alle Länder auf, in denen es mehr als zehn Höhlen gibt.",
136,de,Welche Lieder hat Brucse Springsteen zwischen 1980 und 1990 veröffentlicht?,
137,de,Welche Serien wurden von John Cleese erfunden?,
138,de,Wann ist Lettland der EU beigetreten?,
139,de,Welche Fußballspieler sind auf Malta geboren?,
140,de,Wie viele Politiker haben an der Columbia University ihren Abschluss gemacht?,
141,de,Wann wurden die Darsteller der Fernsehserie Charmed geboren?,
142,de,Welche Telekommunikationsunternehmen stammen aus Belgien?,
143,de,Liste alle Seen in Dänemark auf.,
144,de,WIe viele Kinder hat Eddie Murphy?,
145,de,Zeige alle gotischen Gebäude in Kent.,
146,de,Wer ist der Manager von Real Madrid?,
147,de,In welchen Ländern kannst man mit westafrikanischen CFA Franc bezahlen?,
148,de,Welche Feiertage gibt es auf der Welt?,
149,de,Wie heißt der längste Fluss?,
150,de,Welche Organisationen wurden 1930 gegründet?,
151,de,Wie ist der Geburtsname von Angela Merkel?,
152,de,Mit wem war Tom Cruise verheiratet?,
153,de,Welche Waffen hat Heckler & Koch entwickelt?,
154,de,Welche ist die flächenmäßig kleinste Stadt in Deutschland?,
155,de,Welche Partei regiert in Lissabon?,
156,de,Welcher ist der leichteste Mond vom Jupiter?,
157,de,Wie viele Angestellte hat IBM?,
158,de,Liste alle Episoden der ersten Staffel der HBO-Fernsehserie The Sopranos auf.,
159,de,Wofür steht ICRO?,
160,de,Hat die Neuauflage von Battlestar Galactica mehr Episoden als die alte Serie?,
161,de,"Liste alle Filme, die Hal Roach produziert hat, auf.",
162,de,Wer hat Agent Smith in Matrix gespielt?,
163,de,Welche griechischen Parteien sind proeuropäisch eingestellt?,
164,de,"Liste alle Bandleader auf, die Trompete spielen.",
165,de,Wie heißt der zweithöchste Berg der Welt?,
166,de,Ist Ägyptens größte Stadt auch die Hauptstadt?,
167,de,Welche Raketen sind von Baikonur aus gestartet?,
168,de,Wie viele Programmiersprachen gibt es?,
169,de,"Welche Schachspieler sind am gleichen Ort gestorben, an dem sie geboren wurden?",
170,de,Wem gehört Facebook?,
171,de,In welchen Filmen hat Tom Cruise mitgespielt?,
172,de,Zu welchem Bundesstaat gehört Fort Knox?,
173,de,Liste alle Städte mit einer Einwohnerzahl größer als 100000 in New Jersey auf.,
174,de,"Liste alle Berge auf, die größer als der Nanga Parbat sind.",
175,de,Liste alle B-Seiten der Ramones auf.,
176,de,Welches sind die Fachgebiete des UNC Health Care?,
177,de,Wann wurde Olof Palme erschossen?,
178,de,Liste die sieben Könige Roms auf.,
179,de,"Liste alle Menschen auf, die in Wien geboren und in Berlin gestorben sind.",
180,de,Ist Darth Vader der Vater von Luke?,
181,de,Liste alle Brauereinen in Australien auf.,
182,de,Liste alle von Steven Spielberg produzierten Filme mit einem Budget von mindestens 80 Millionen Dollar auf.,
183,de,Liste alle Fußballvereine aus Spanien auf.,
184,de,"Wer hat die Filme, in denen Natalie Portman mitspielt, produziert?",
