ID;Frage_original_EN;internal ID
1;List all boardgames by GMT.;0
2;Who developed Skype?;1
3;Which people were born in Heraklion?;2
4;In which U.S. state is Area 51 located?;3
5;Who is the mayor of New York City?;4
6;Which countries have places with more than two caves?;5
7;Where did Abraham Lincoln die?;6
8;Which airports does Air China serve?;7
9;Give me all actors starring in movies directed by and starring William Shatner.;8
10;What are the official languages of the Philippines?;9
11;Give me all Danish films.;10
12;Which movies starring Brad Pitt were directed by Guy Ritchie?;11
13;Give me the grandchildren of Bruce Lee.;12
14;Which other weapons did the designer of the Uzi develop?;13
15;Who is the owner of Universal Studios?;14
16;Which state of the USA has the highest population density?;15
17;Which monarchs were married to a German?;16
18;Which organizations were founded in 1950?;17
19;Who created the comic Captain America?;18
20;Give me the Apollo 14 astronauts.;19
21;Who wrote the book The pillars of the Earth?;20
22;Which state of the United States of America has the highest density?;21
23;Which spaceflights were launched from Baikonur?;22
24;Give me a list of all trumpet players that were bandleaders.;23
25;Which U.S. states are in the same timezone as Utah?;24
26;Which U.S. states possess gold minerals?;25
27;Who is the daughter of Ingrid Bergman married to?;26
28;How deep is Lake Placid?;27
29;Show me all museums in London.;28
30;Which caves have more than 3 entrances?;29
31;Who is the tallest player of the Atlanta Falcons?;30
32;What are the top-10 action role-playing video games according to IGN?;31
33;Give me all writers that won the Nobel Prize in literature.;32
34;Show me all basketball players that are higher than 2 meters.;33
35;When was the Statue of Liberty built?;34
36;Which states border Illinois?;35
37;Who developed Minecraft?;36
38;Where did Hillel Slovak die?;37
39;What movies does Jesse Eisenberg play in?;38
40;Give all swimmers that were born in Moscow.;39
41;Give me all cosmonauts.;40
42;Give me all Swiss non-profit organizations.;41
43;Which presidents were born in 1945?;42
44;What kind of music did Lou Reed play?;43
45;Where do the Red Sox play?;44
46;Show a list of soccer clubs that play in the Bundesliga.;45
47;Which volcanos in Japan erupted since 2000?;46
48;Which bridges cross the Seine?;47
49;What is the official color of the University of Oxford?;48
50;How many films did Hal Roach produce?;49
51;Give me all Danish movies.;50
52;What is the most frequent cause of death?;51
53;Who are the four youngest MVP basketball players?;52
54;Give me all companies in Munich.;53
55;Give me the capitals of all countries that the Himalayas run through.;54
56;How many movies did Park Chan-wook direct?;55
57;Which rivers flow into a German lake?;56
58;How many airlines are there?;57
59;Give me all islands that belong to Japan.;58
60;How many inhabitants does Maribor have?;59
